Dbkey,Station,Site,Group Name,Data Type,Frequency,Statistic Type,Recorder,Agency,Start Date,End Date,Days of Data,Strata,County,Op Num,NAVD88_correction,Latitude,Longitude,X COORD,Y COORD,Basin,Structure Type,Section,Township,Range
L7470,CRS05FS,CRS05F,CRS05F,WELL,DA,MEAN,CR10,WMD,3-Nov-99,15-Jul-20,7560,8.66,HEN,,-1.289,263855.835,811521.565,572553.696,841610.578,EAST CAL,,17,44,31
L7458,CRS05NM,CRS05N,CRS05N,WELL,DA,MEAN,CR10,WMD,3-Nov-99,15-Jul-20,7560,53.7,HEN,,-1.289,263855.69,811530.756,571719.77,841597.617,EAST CAL,,17,44,31
L7457,CRS05NS,CRS05N,CRS05N,WELL,DA,MEAN,CR10,WMD,3-Nov-99,15-Jul-20,7560,9.97,HEN,,-1.289,263855.69,811530.756,571719.77,841597.617,EAST CAL,,17,44,31
TA287,FT.DENAUDE,FTDN,FTDN,WELL,DA,MEAN,MOD1,WMD,25-Feb-92,31-Dec-12,7615,114,HEN,,-1.283,264541.93,812940.9,494744.971,882843.807,WEST CAL,,2,43,28
15241,FT.DENAUDE,FTDN,FTDN,WELL,DA,MEAN,CR10,WMD,25-Feb-92,15-Jul-20,10368,114,HEN,,-1.283,264541.93,812940.9,494744.971,882843.807,WEST CAL,,2,43,28
15242,FTDN-S,FTDN,FTDN,WELL,DA,MEAN,CR10,WMD,25-Feb-92,15-Jul-20,10368,13,HEN,,-1.283,264541.9,812940.9,494744.971,882840.807,WEST CAL,,2,43,28
2869,GL-267,GL-267,GL-267,WELL,RI,RAND,TAPE,USGS,14-Dec-71,17-Jun-20,17718,824,GLA,,-1.145,265530.21,811851.249,553777.315,942056.999,FISH,,10,41,30
LP682,GL-328,GL-328,GL-328,WELL,DA,MAX,????,USGS,1-Jun-00,30-Jun-20,7334,125,GLA,,-1.23,264941.003,813212.989,481061.366,907039.907,WEST CAL,,17,42,28
NV816,GL-328,GL-328,GL-328,WELL,RI,RAND,TAPE,USGS,14-Oct-08,1-Jul-20,4278,125,GLA,,-1.23,264941.003,813212.989,481061.366,907039.907,WEST CAL,,17,42,28
2406,HE-0856,HE-856,HE-856,WELL,DA,MAX,????,USGS,1-Oct-77,25-Oct-18,14999,11,HEN,,-1.332,263036.267,810734.24,614904.112,791106.68,C139,,34,45,32
8326,HE-0856,HE-856,HE-856,WELL,RI,RAND,TAPE,USGS,28-Oct-83,17-Jun-20,13382,11,HEN,,-1.332,263036.267,810734.24,614904.112,791106.68,C139,,34,45,32
2203,HE-0861,HE-861,HE-861,WELL,DA,MAX,????,USGS,1-Jan-78,15-Jul-20,15536,70,HEN,,-1.214,261736.293,805339.225,690820.404,712350.056,L-28,,24,48,34
8331,HE-0861,HE-861,HE-861,WELL,RI,RAND,TAPE,USGS,4-Nov-85,24-Feb-20,12530,70,HEN,,-1.214,261736.293,805339.225,690820.404,712350.056,L-28,,24,48,34
88679,HE-1042,HE-1042,HE-1042,WELL,DA,MAX,????,USGS,28-Jan-04,17-Jun-20,5985,80,HEN,,-1.339,262217.286,811131.259,593298.346,740753.007,COLL.E,,23,47,31
37428,HE-1042,HE-1042,HE-1042,WELL,RI,RAND,TAPE,USGS,29-Oct-87,18-Jun-20,11921,80,HEN,,-1.339,262217.286,811131.259,593298.346,740753.007,COLL.E,,23,47,31
88677,HE-1062,HE-1062,HE-1062,WELL,DA,MAX,????,USGS,12-Jun-03,23-Apr-20,6160,10,HEN,,-1.371,261747.295,810617.252,621834.392,713460.613,L28 GAP,,23,48,32
37426,HE-1062,HE-1062,HE-1062,WELL,RI,RAND,TAPE,USGS,29-Oct-87,16-Jun-20,11919,10,HEN,,-1.371,261747.295,810617.252,621834.392,713460.613,L28 GAP,,23,48,32
88738,HE-1063,HE-1062,HE-1062,WELL,DA,MAX,????,USGS,12-Jun-03,23-Apr-20,6160,123,HEN,,-1.371,261747.295,810617.252,621834.392,713460.613,L28 GAP,,23,48,32
37435,HE-1063,HE-1062,HE-1062,WELL,RI,RAND,TAPE,USGS,29-Oct-87,16-Jun-20,11919,123,HEN,,-1.371,261747.295,810617.252,621834.392,713460.613,L28 GAP,,23,48,32
88683,HE-1068,HE-1068,HE-1068,WELL,DA,MAX,????,USGS,12-Jun-03,27-Aug-18,5555,160,HEN,,-1.309,264045.244,810227.241,642811.05,852575.781,C139,,9,44,33
37432,HE-1068,HE-1068,HE-1068,WELL,RI,RAND,TAPE,USGS,29-Oct-87,28-May-20,11900,160,HEN,,-1.309,264045.244,810227.241,642811.05,852575.781,C139,,9,44,33
88684,HE-1069,HE-1068,HE-1068,WELL,DA,MAX,????,USGS,12-Jun-03,24-Oct-18,5613,13,HEN,,-1.309,264045.244,810227.241,642811.05,852575.781,C139,,9,44,33
37433,HE-1069,HE-1068,HE-1068,WELL,RI,RAND,TAPE,USGS,29-Oct-87,28-May-20,11900,13,HEN,,-1.309,264045.244,810227.241,642811.05,852575.781,C139,,9,44,33
88682,HE-1076,HE-1076,HE-1076,WELL,DA,MAX,????,USGS,15-May-03,17-Jun-20,6243,340,HEN,,-1.276,263843.251,812038.268,543815.789,840407.362,WEST CAL,,20,44,30
37431,HE-1076,HE-1076,HE-1076,WELL,RI,RAND,TAPE,USGS,29-Jan-88,1-May-20,11781,340,HEN,,-1.276,263843.251,812038.268,543815.789,840407.362,WEST CAL,,20,44,30
88681,HE-1077,HE-1076,HE-1076,WELL,DA,MAX,????,USGS,7-Sep-02,30-Apr-20,6445,10,HEN,,-1.276,263843.251,812038.268,543815.789,840407.362,WEST CAL,,20,44,30
37430,HE-1077,HE-1076,HE-1076,WELL,RI,RAND,TAPE,USGS,29-Jan-88,1-May-20,11781,10,HEN,,-1.276,263843.251,812038.268,543815.789,840407.362,WEST CAL,,20,44,30
2765,HE-517,HE-517,HE-517,WELL,DA,MAX,????,USGS,28-Jan-77,24-Oct-18,15244,136,HEN,,-1.237,264614,812228,533994.284,885949.858,WEST CAL,,36,42,29
8855,HE-517,HE-517,HE-517,WELL,RI,RAND,TAPE,USGS,28-Oct-83,25-Jun-20,13390,136,HEN,,-1.237,264614,812228,533994.284,885949.858,WEST CAL,,36,42,29
2610,HE-555,HE-555,HE-555,WELL,DA,MAX,????,USGS,1-Jan-76,17-Jun-20,16239,270,HEN,,-1.27,263846.252,812606.261,514057.031,840801.221,WEST CAL,,21,44,29
8298,HE-555,HE-555,HE-555,WELL,RI,RAND,TAPE,USGS,23-Oct-75,1-May-20,16262,270,HEN,,-1.27,263846.252,812606.261,514057.031,840801.221,WEST CAL,,21,44,29
2611,HE-556,HE-556,HE-556,WELL,DA,MAX,????,USGS,1-Jan-76,17-Jun-20,16239,175,HEN,,-1.27,263848.249,812608.274,513875.027,841003.382,WEST CAL,,16,44,29
7695,HE-556,HE-556,HE-556,WELL,RI,RAND,TAPE,USGS,23-Oct-75,1-May-20,16262,175,HEN,,-1.27,263848.249,812608.274,513875.027,841003.382,WEST CAL,,16,44,29
37383,HE-557,HE557,HE557,WELL,DA,MAX,????,USGS,14-May-03,1-Jul-20,6258,100,HEN,,-1.27,264236.244,813105.266,487021.649,864125.171,WEST CAL,,28,43,28
2698,HE-557,HE557,HE557,WELL,RI,RAND,TAPE,USGS,27-Oct-76,2-Jul-20,15954,100,HEN,,-1.27,264236.244,813105.266,487021.649,864125.171,WEST CAL,,28,43,28
2699,HE-558,HE-558,HE-558,WELL,DA,MAX,????,USGS,1-Oct-77,1-Jul-20,15614,13,HEN,,-1.27,264236.244,813105.266,487021.649,864125.171,WEST CAL,,28,43,28
2700,HE-558,HE-558,HE-558,WELL,RI,RAND,TAPE,USGS,27-Oct-76,2-Jul-20,15954,13,HEN,,-1.27,264236.244,813105.266,487021.649,864125.171,WEST CAL,,28,43,28
2612,HE-851,HE-851,HE-851,WELL,DA,MAX,????,USGS,12-Oct-77,17-Jun-20,15589,13,HEN,,-1.27,263846.252,812606.261,514057.031,840801.221,WEST CAL,,21,44,29
8299,HE-851,HE-851,HE-851,WELL,RI,RAND,TAPE,USGS,25-Aug-77,1-May-20,15590,13,HEN,,-1.27,263846.252,812606.261,514057.031,840801.221,WEST CAL,,21,44,29
2405,HE-855,HE-855,HE-855,WELL,DA,MAX,????,USGS,13-May-03,25-Oct-18,5644,90,HEN,,-1.332,263036.267,810734.24,614904.112,791106.68,C139,,34,45,32
8325,HE-855,HE-855,HE-855,WELL,RI,RAND,TAPE,USGS,28-Oct-83,17-Jun-20,13382,90,HEN,,-1.332,263036.267,810734.24,614904.112,791106.68,C139,,34,45,32
37384,HE-859,HE-859,HE-859,WELL,DA,MAX,????,USGS,13-May-03,15-Jun-20,6243,59,HEN,,-1.352,262738.274,810435.248,631154.097,773124.02,C139,,19,46,33
8327,HE-859,HE-859,HE-859,WELL,RI,RAND,TAPE,USGS,4-Nov-85,16-Jun-20,12643,59,HEN,,-1.352,262738.274,810435.248,631154.097,773124.02,C139,,19,46,33
37385,HE-860,HE-860,HE-860,WELL,DA,MAX,????,USGS,13-May-03,15-Jun-20,6243,16,HEN,,-1.352,262738.274,810435.248,631154.097,773124.02,C139,,19,46,33
8328,HE-860,HE-860,HE-860,WELL,RI,RAND,TAPE,USGS,4-Nov-85,16-Jun-20,12643,16,HEN,,-1.352,262738.274,810435.248,631154.097,773124.02,C139,,19,46,33
2204,HE-862,HE-862,HE-862,WELL,DA,MAX,????,USGS,1-Dec-77,15-Jul-20,15567,10,HEN,,-1.417,261809,805335,691203.538,715654.076,L-28,,24,48,34
8332,HE-862,HE-862,HE-862,WELL,RI,RAND,TAPE,USGS,1-Sep-77,24-Feb-20,15516,10,HEN,,-1.417,261809,805335,691203.538,715654.076,L-28,,24,48,34
SN305,HE-907,L2GW,L2GW,WELL,DA,MEAN,CR10,WMD,23-Jun-04,15-Jul-20,5866,20,HEN,,-1.368,263629.4,805657.5,672731.945,826746.38,S-3_8,,4,45,34
SN307,HE-908,L2GW,L2GW,WELL,DA,MEAN,CR10,WMD,23-Jun-04,15-Jul-20,5866,75,HEN,,-1.368,263629.4,805657.5,672731.945,826746.38,S-3_8,,4,45,34
SN309,HE-909,L2GW,L2GW,WELL,DA,MEAN,CR10,WMD,23-Jun-04,15-Jul-20,5866,148,HEN,,-1.368,263629.4,805657.5,672731.945,826746.38,S-3_8,,4,45,34
AI627,HES-22D,HES22,HES22,WELL,DA,MEAN,TROL,WMD,9-Nov-09,29-Jan-20,3733,71,HEN,,-1.316,264017.8,810200.8,645208.8,849804.2,C139,,9,44,33
AI630,HES-22S,HES22,HES22,WELL,DA,MEAN,TROL,WMD,9-Nov-09,29-Jan-20,3733,12,HEN,,-1.316,264017.8,810200.8,645208.8,849804.2,C139,,9,44,33
90660,HES-23D,HES23,HES23,WELL,DA,MEAN,TROL,WMD,10-Nov-09,29-Jan-20,3732,65,HEN,,-1.319,263511.5,810737.2,614662.8,818896.6,C139,,10,45,32
AI629,HES-23S,HES23,HES23,WELL,DA,MEAN,TROL,WMD,10-Nov-09,29-Jan-20,3732,9.5,HEN,,-1.319,263511.5,810737.2,614662.8,818896.6,C139,,10,45,32
90664,HES-24D,HES24,HES24,WELL,DA,MEAN,TROL,WMD,10-Nov-09,29-Jan-20,3732,90,HEN,,-1.293,263157,811730.5,560759,799346.3,OKALOACO,,26,45,30
90662,HES-24S,HES24,HES24,WELL,DA,MEAN,TROL,WMD,10-Nov-09,29-Jan-20,3732,10,HEN,,-1.293,263157,811730.5,560759,799346.3,OKALOACO,,26,45,30
90668,HES-25D,HES25,HES25,WELL,DA,MEAN,TROL,WMD,10-Nov-09,29-Jan-20,3732,92,HEN,,-1.378,262930,805849.5,662571.8,784396.1,C139,,12,46,33
90666,HES-25S,HES25,HES25,WELL,DA,MEAN,TROL,WMD,9-Nov-09,29-Jan-20,3733,20,HEN,,-1.378,262930,805849.5,662571.8,784396.1,C139,,12,46,33
90672,HES-26D,HES26,HES26,WELL,DA,MEAN,TROL,WMD,9-Nov-09,29-Jan-20,3733,90,HEN,,-1.381,262650.9,805845.5,662937.8,768332.4,C139,,30,46,34
90670,HES-26S,HES26,HES26,WELL,DA,MEAN,TROL,WMD,9-Nov-09,29-Jan-20,3733,23,HEN,,-1.381,262650.9,805845.5,662937.8,768332.4,C139,,30,46,34
90680,HES-28D,HES28,HES28,WELL,DA,MEAN,TROL,WMD,9-Nov-09,29-Jan-20,3733,66,HEN,,-1.378,262322.7,810117.1,649157.024,747312.869,FEEDER,,15,47,33
90678,HES-28S,HES28,HES28,WELL,DA,MEAN,TROL,WMD,9-Nov-09,29-Jan-20,3733,22,HEN,,-1.378,262322.7,810117.1,649157.024,747312.869,FEEDER,,15,47,33
W4324,LAB-SU1,LABPW2,LABPW2,WELL,DA,MEAN,CR10,WMD,24-Dec-08,15-Jul-20,4221,30,HEN,,-1.28,264509.376,812816.097,502419.514,879527.585,WEST CAL,,12,43,28
3175,MARSHALL,MARSHALL,MARSHALL,WELL,DA,MAX,????,USGS,20-Nov-62,14-Jul-20,21056,478,DES,,-1.083,272013.158,814824.281,394257.352,1092518.689,SWFWMD,,22,36,25
2820,PUNTA G,PUNTA G,PUNTA G,WELL,DA,MAX,????,USGS,25-Apr-67,21-Apr-20,19355,125,CHA,,-1.135,265139.231,820021.303,328208.127,919908.135,CHARLOTT,,34,41,23
2822,PUNTA G,PUNTA G,PUNTA G,WELL,RI,RAND,TAPE,USGS,16-Sep-75,22-Apr-20,16290,125,CHA,,-1.135,265139.231,820021.303,328208.127,919908.135,CHARLOTT,,34,41,23
TA283,USSSUGAR,USSS,USSS,WELL,DA,MEAN,MOD1,WMD,15-Jan-92,31-Dec-13,8021,100,HEN,,-1.385,262606.275,805843.23,663144.838,763826.837,C139,,31,46,34
15243,USSSUGAR,USSS,USSS,WELL,DA,MEAN,CR10,WMD,15-Jan-92,15-Jul-20,10409,100,HEN,,-1.385,262606.275,805843.23,663144.838,763826.837,C139,,31,46,34
